Frame,ClassID,ClassName,Confidence,X1,Y1,X2,Y2
19,2,Aggressive,0.2635115385055542,307,0,563,467
20,2,Aggressive,0.3554569482803345,308,0,565,467
166,2,Aggressive,0.3008720874786377,93,583,395,1264
167,2,Aggressive,0.3008720874786377,93,583,395,1264
170,2,Aggressive,0.2873249053955078,304,0,562,467
171,2,Aggressive,0.27092474699020386,304,0,562,467
172,2,Aggressive,0.28123101592063904,304,0,560,464
173,2,Aggressive,0.2943108379840851,304,0,562,464
174,2,Aggressive,0.2544148564338684,304,0,567,464
175,2,Aggressive,0.34449347853660583,302,0,565,463
176,2,Aggressive,0.3724081516265869,304,0,563,465
177,2,Aggressive,0.3738003373146057,304,0,565,465
178,2,Aggressive,0.3792524039745331,302,0,566,466
294,2,Aggressive,0.33051902055740356,298,0,623,465
323,1,Defensive,0.26085686683654785,60,57,697,1276
324,1,Defensive,0.3147885203361511,56,204,700,1275
325,1,Defensive,0.39549899101257324,53,196,698,1276
325,3,Leave,0.265629380941391,45,0,678,1204
328,1,Defensive,0.4028421640396118,56,191,700,1279
330,1,Defensive,0.32780322432518005,45,271,706,1277
331,1,Defensive,0.35756635665893555,37,274,704,1275
332,1,Defensive,0.7507826685905457,34,234,702,1278
333,1,Defensive,0.7578027248382568,34,236,702,1277
334,1,Defensive,0.697792112827301,30,512,695,1279
334,3,Leave,0.33753103017807007,29,0,653,454
335,1,Defensive,0.7678655385971069,30,453,697,1279
335,3,Leave,0.43410032987594604,26,0,657,437
336,1,Defensive,0.7776520848274231,26,502,701,1278
336,3,Leave,0.27714964747428894,29,0,680,481
337,1,Defensive,0.7418228387832642,26,451,704,1277
337,3,Leave,0.29914939403533936,24,0,646,434
338,1,Defensive,0.8340741395950317,24,263,705,1278
338,3,Leave,0.3960765302181244,23,0,647,419
339,1,Defensive,0.8340203762054443,24,263,705,1278
339,3,Leave,0.40032145380973816,23,0,647,419
340,1,Defensive,0.7941111326217651,14,298,694,1280
341,1,Defensive,0.6515629887580872,23,364,700,1277
342,1,Defensive,0.2552529573440552,23,187,703,1277
346,1,Defensive,0.3450700640678406,26,130,706,1276
347,1,Defensive,0.48188358545303345,28,369,699,1278
348,1,Defensive,0.4557493329048157,27,359,701,1278
349,1,Defensive,0.6139962673187256,28,391,700,1277
350,1,Defensive,0.6424193382263184,26,216,707,1276
351,1,Defensive,0.6528756022453308,26,216,707,1276
352,1,Defensive,0.5404514074325562,28,212,707,1276
353,1,Defensive,0.5601240396499634,27,226,703,1277
354,1,Defensive,0.35390764474868774,27,323,694,1278
355,1,Defensive,0.48813706636428833,28,369,692,1278
360,1,Defensive,0.4367533028125763,33,12,715,1280
364,1,Defensive,0.5131592154502869,29,0,710,1280
365,1,Defensive,0.4658503234386444,21,0,702,1280
366,1,Defensive,0.37811025977134705,22,0,680,1280
367,1,Defensive,0.317940354347229,24,0,679,1280
368,1,Defensive,0.3567439615726471,29,0,683,1262
369,1,Defensive,0.3567439615726471,29,0,683,1262
374,3,Leave,0.342643678188324,32,4,682,1278
374,1,Defensive,0.263414204120636,29,0,686,1279
375,3,Leave,0.3488691747188568,32,4,681,1278
375,1,Defensive,0.2554987967014313,29,0,686,1279
376,1,Defensive,0.400348424911499,30,0,686,1264
377,1,Defensive,0.33436453342437744,20,0,682,1280
378,1,Defensive,0.44996434450149536,30,0,692,1280
379,1,Defensive,0.48430198431015015,28,0,685,1280
380,1,Defensive,0.5268005132675171,30,0,686,1280
381,1,Defensive,0.5268005132675171,30,0,686,1280
