Frame,ClassID,ClassName,Confidence,X1,Y1,X2,Y2
0,1,Defensive,0.59548020362854,229,32,1648,1051
1,1,Defensive,0.5885580778121948,102,31,1677,1055
1,3,Leave,0.39182063937187195,87,15,1755,1044
2,1,Defensive,0.7666829824447632,0,16,1801,1048
2,3,Leave,0.37954914569854736,70,14,1777,1039
3,1,Defensive,0.6848600506782532,0,21,1800,1041
3,3,Leave,0.45754319429397583,114,21,1771,1036
4,1,Defensive,0.8032863736152649,88,34,1774,1039
5,1,Defensive,0.7717369794845581,60,37,1713,1040
5,1,Defensive,0.31987234950065613,647,25,1683,1054
6,3,Leave,0.6333263516426086,59,42,1702,1036
6,1,Defensive,0.44842398166656494,7,38,1734,1042
6,1,Defensive,0.42803025245666504,597,38,1702,1047
7,1,Defensive,0.712557315826416,738,36,1699,1046
7,3,Leave,0.5950850248336792,109,54,1644,1036
8,1,Defensive,0.5643579959869385,832,41,1699,1046
9,1,Defensive,0.47990235686302185,883,40,1716,1046
9,1,Defensive,0.34622350335121155,329,41,1730,1031
10,3,Leave,0.32701390981674194,26,47,1647,1035
11,1,Defensive,0.2740062177181244,894,23,1734,1050
12,3,Leave,0.4556642770767212,11,66,1648,1035
13,1,Defensive,0.4111405611038208,875,38,1752,1044
14,1,Defensive,0.29017165303230286,878,31,1797,1050
15,3,Leave,0.3445015251636505,110,53,1468,1041
16,3,Leave,0.3616240918636322,207,47,1595,1042
18,3,Leave,0.5160872340202332,394,55,1857,1043
18,1,Defensive,0.2950306534767151,843,50,1829,1047
19,3,Leave,0.32447606325149536,401,55,1812,1036
19,1,Defensive,0.2578912079334259,838,50,1836,1044
21,1,Defensive,0.28398454189300537,927,54,1868,1039
23,1,Defensive,0.44690462946891785,959,38,1875,1045
24,1,Defensive,0.2808833420276642,1221,13,1884,1043
25,1,Defensive,0.3344123959541321,1197,3,1883,1049
26,1,Defensive,0.685238242149353,1311,8,1906,1052
27,1,Defensive,0.36762338876724243,1285,29,1861,1051
28,1,Defensive,0.330294132232666,1382,9,1913,1004
29,1,Defensive,0.4156312346458435,1392,21,1902,1038
30,1,Defensive,0.6559988260269165,980,58,1802,1059
30,1,Defensive,0.2856883108615875,1273,65,1843,1062
31,1,Defensive,0.34170785546302795,961,126,1818,1048
53,1,Defensive,0.2586572766304016,197,149,1833,1044
54,1,Defensive,0.26415538787841797,534,78,1823,1049
57,1,Defensive,0.3216037154197693,9,67,1671,1037
60,1,Defensive,0.2784336805343628,7,59,1542,1038
62,1,Defensive,0.2975618541240692,5,57,1647,1043
68,3,Leave,0.4028055667877197,968,504,1824,1054
70,3,Leave,0.2809986174106598,860,399,1707,1058
71,3,Leave,0.514610767364502,610,357,1721,1051
72,3,Leave,0.5388020277023315,572,297,1696,1048
72,3,Leave,0.5010117888450623,4,311,1667,1046
76,3,Leave,0.5814359784126282,7,102,1812,1051
77,1,Defensive,0.3869594931602478,0,78,1528,1058
77,3,Leave,0.2672434151172638,6,80,1780,1047
78,3,Leave,0.7129653692245483,11,63,1754,1042
79,1,Defensive,0.3431277573108673,0,43,1395,1055
79,3,Leave,0.3034909665584564,4,34,1807,1048
80,3,Leave,0.5394735336303711,0,40,1744,1044
80,1,Defensive,0.29493364691734314,0,35,1335,1050
82,3,Leave,0.5246862173080444,1,7,1657,1030
82,3,Leave,0.49677374958992004,0,13,887,1030
83,3,Leave,0.8141128420829773,0,23,884,1038
84,3,Leave,0.8035309910774231,0,30,850,1039
85,3,Leave,0.7898456454277039,0,7,810,1042
86,3,Leave,0.5637391209602356,7,13,776,1051
87,3,Leave,0.5341199040412903,8,42,784,1041
88,3,Leave,0.28191089630126953,17,48,912,1039
88,1,Defensive,0.27238157391548157,22,45,811,1048
89,1,Defensive,0.2798948585987091,1421,60,1918,906
90,3,Leave,0.6037147045135498,0,42,553,1045
90,1,Defensive,0.2980099022388458,1409,49,1918,866
91,1,Defensive,0.8819990158081055,1403,45,1917,1063
91,3,Leave,0.7565799951553345,0,45,572,1040
92,1,Defensive,0.9534666538238525,1411,38,1918,1060
92,3,Leave,0.8305792808532715,0,40,579,1034
93,1,Defensive,0.905499279499054,1385,27,1916,1065
93,3,Leave,0.7539795637130737,0,53,570,1033
94,1,Defensive,0.9220099449157715,1416,25,1918,1058
94,3,Leave,0.8553367853164673,10,37,682,1046
95,3,Leave,0.8855957984924316,7,31,696,1054
95,1,Defensive,0.8304744362831116,1366,23,1917,1063
95,3,Leave,0.25685620307922363,0,123,510,1061
96,3,Leave,0.9273012280464172,8,18,670,1045
