Frame,ClassID,ClassName,Confidence,X1,Y1,X2,Y2
1,1,Defensive,0.3393440246582031,21,53,1497,1044
2,1,Defensive,0.33507075905799866,20,54,1499,1045
11,0,Cover Drive,0.4747993052005768,77,77,1855,1059
12,0,Cover Drive,0.4812593162059784,83,78,1831,1060
13,0,Cover Drive,0.4433659017086029,233,75,1615,1060
14,0,Cover Drive,0.6126927137374878,249,82,1512,1063
14,0,Cover Drive,0.3071571886539459,107,87,1920,1059
15,0,Cover Drive,0.6118665933609009,200,88,1881,1063
16,0,Cover Drive,0.44005176424980164,219,90,1907,1059
17,0,Cover Drive,0.4301493763923645,217,89,1907,1060
19,0,Cover Drive,0.3866381347179413,216,87,1855,1056
20,0,Cover Drive,0.4021587669849396,224,82,1806,1056
21,0,Cover Drive,0.504370391368866,237,70,1430,1061
22,0,Cover Drive,0.5409003496170044,237,70,1437,1060
23,0,Cover Drive,0.46770983934402466,206,66,1541,1057
24,0,Cover Drive,0.5475972890853882,277,52,1313,1060
25,0,Cover Drive,0.8445040583610535,267,44,1354,1058
25,0,Cover Drive,0.4382674992084503,172,44,1809,1055
26,0,Cover Drive,0.5816192626953125,257,23,1524,1059
26,0,Cover Drive,0.4446379542350769,74,18,1886,1057
27,0,Cover Drive,0.5893803834915161,262,22,1455,1059
27,0,Cover Drive,0.4080764055252075,76,17,1855,1058
28,0,Cover Drive,0.6785140633583069,272,23,1468,1051
29,0,Cover Drive,0.5586308240890503,254,48,1628,1053
30,3,Leave,0.4700520932674408,233,40,1594,1052
31,0,Cover Drive,0.49632227420806885,269,47,1615,1057
32,0,Cover Drive,0.5635262131690979,268,50,1553,1056
33,3,Leave,0.5993524193763733,258,54,1607,1054
34,0,Cover Drive,0.41483137011528015,260,45,1599,1052
34,3,Leave,0.3091593384742737,80,42,1648,1047
35,3,Leave,0.37886103987693787,63,37,1746,1049
35,0,Cover Drive,0.30886828899383545,287,81,1700,1056
36,0,Cover Drive,0.3812456727027893,283,113,1701,1058
36,3,Leave,0.3460584580898285,251,44,1731,1055
37,0,Cover Drive,0.30287671089172363,292,142,1694,1060
37,3,Leave,0.26053014397621155,102,74,1568,1050
