epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,170.365,0.69414,0.94575,1.13932,1,0.81679,0.97214,0.55257,1.4434,2.66363,2.31867,0.000409022,0.000409022,0.000409022
44,174.38,0.687,0.97977,1.2249,1,0.81679,0.97214,0.55257,1.4434,2.66363,2.31867,0.000411664,0.000411664,0.000411664
45,178.184,0.73638,0.89109,1.09929,0.94341,1,0.995,0.55488,1.4411,2.39132,2.46604,0.000413976,0.000413976,0.000413976
46,182.003,0.65054,0.85203,1.15994,0.94341,1,0.995,0.55488,1.4411,2.39132,2.46604,0.000415958,0.000415958,0.000415958
47,185.987,0.64996,0.83132,1.08425,0.99017,1,0.995,0.57572,1.49306,2.3363,2.57576,0.00041761,0.00041761,0.00041761
48,189.932,0.68138,0.89345,1.12248,0.99017,1,0.995,0.57572,1.49306,2.3363,2.57576,0.000418932,0.000418932,0.000418932
49,193.986,0.65053,0.8949,1.15903,1,0.9982,0.995,0.53772,1.4368,2.18991,2.62051,0.000419924,0.000419924,0.000419924
50,198.273,0.68347,0.93351,1.09679,1,0.9982,0.995,0.53772,1.4368,2.18991,2.62051,0.000420586,0.000420586,0.000420586
51,202.677,0.76218,0.8824,1.10277,0.98705,1,0.995,0.50695,1.47104,2.07169,2.78004,0.000420918,0.000420918,0.000420918
52,206.807,0.62392,0.93784,1.10106,0.98705,1,0.995,0.50695,1.47104,2.07169,2.78004,0.000420919,0.000420919,0.000420919
53,210.658,0.64937,0.92152,1.0863,0.98705,1,0.995,0.50695,1.47104,2.07169,2.78004,0.000420591,0.000420591,0.000420591
54,214.639,0.73016,0.9366,1.13551,0.98762,1,0.995,0.54216,1.37434,1.89734,2.55346,0.000419932,0.000419932,0.000419932
55,218.821,0.64976,0.85974,1.13569,0.98762,1,0.995,0.54216,1.37434,1.89734,2.55346,0.000418944,0.000418944,0.000418944
56,223.005,0.61808,0.89026,1.10506,0.98762,1,0.995,0.54216,1.37434,1.89734,2.55346,0.000417625,0.000417625,0.000417625
57,227.486,0.66587,0.92389,1.11732,0.99002,1,0.995,0.75202,0.966,1.90348,1.89381,0.000415977,0.000415977,0.000415977
58,231.908,0.60364,0.85462,1.07383,0.99002,1,0.995,0.75202,0.966,1.90348,1.89381,0.000413998,0.000413998,0.000413998
59,236.303,0.61931,0.79216,1.0981,0.99002,1,0.995,0.75202,0.966,1.90348,1.89381,0.000411689,0.000411689,0.000411689
60,240.545,0.62386,0.87301,1.11429,0.99081,1,0.995,0.70944,1.03361,1.94727,1.99725,0.00040905,0.00040905,0.00040905
61,244.972,0.61784,0.88401,1.07823,0.99081,1,0.995,0.70944,1.03361,1.94727,1.99725,0.000406081,0.000406081,0.000406081
62,249.298,0.52697,0.7593,1.02692,0.99081,1,0.995,0.70944,1.03361,1.94727,1.99725,0.000402782,0.000402782,0.000402782
63,253.638,0.52925,0.83106,1.06101,0.99086,1,0.995,0.73397,1.07081,1.87377,2.0963,0.000399153,0.000399153,0.000399153
64,258.09,0.55396,0.78944,1.06941,0.99086,1,0.995,0.73397,1.07081,1.87377,2.0963,0.000395194,0.000395194,0.000395194
65,262.469,0.63277,0.88093,1.10245,0.99086,1,0.995,0.73397,1.07081,1.87377,2.0963,0.000390905,0.000390905,0.000390905
66,266.969,0.62172,0.82114,1.0579,0.99095,1,0.995,0.71625,1.03766,1.7283,1.99796,0.000386286,0.000386286,0.000386286
